expnum,date,ra,dec,exptime,band,tag,object,accepted,t_eff,fwhm_asec,ellipticity,analyst,lastchanged_time
352864,2014/8/29 02:54:18,0:31:29.93,-43:00:34.6,175.0,g,None,DES supernova hex SN-E1 tiling 20,False,0.0,1.51,0.659,assess_RUN_v25475,2014/8/29 15:47:55
352865,2014/8/29 02:57:41,0:31:29.92,-43:00:34.6,150.0,r,None,DES supernova hex SN-E1 tiling 20,False,0.0,1.524,0.618,assess_RUN_v25475,2014/8/29 16:06:02
352866,2014/8/29 03:00:39,0:31:29.94,-43:00:34.5,200.0,i,None,DES supernova hex SN-E1 tiling 20,False,0.0,1.34,0.326,assess_RUN_v25475,2014/8/29 16:09:53
352867,2014/8/29 03:04:27,0:31:29.95,-43:00:34.6,200.0,z,None,DES supernova hex SN-E1 tiling 21,False,0.0,1.213,0.168,assess_RUN_v25475,2014/8/29 14:43:15
352868,2014/8/29 03:08:14,0:31:29.79,-43:00:39.1,200.0,z,None,DES supernova hex SN-E1 tiling 22,False,0.0,1.36,0.194,assess_RUN_v25475,2014/8/29 14:33:21
352870,2014/8/29 03:14:11,0:38:00.05,-43:59:52.8,175.0,g,None,DES supernova hex SN-E2 tiling 20,False,0.0,1.739,0.696,assess_RUN_v25475,2014/8/29 16:05:51
352871,2014/8/29 03:17:34,0:38:00.04,-43:59:52.8,150.0,r,None,DES supernova hex SN-E2 tiling 20,False,0.0,1.592,0.632,assess_RUN_v25475,2014/8/29 16:04:01
352872,2014/8/29 03:20:32,0:38:00.07,-43:59:52.8,200.0,i,None,DES supernova hex SN-E2 tiling 20,False,0.0,1.607,0.372,assess_RUN_v25475,2014/8/29 16:09:35
352873,2014/8/29 03:24:20,0:38:00.06,-43:59:52.9,200.0,z,None,DES supernova hex SN-E2 tiling 21,False,0.0,1.58,0.307,assess_RUN_v25475,2014/8/29 14:32:11
352874,2014/8/29 03:28:07,0:37:59.93,-43:59:57.5,200.0,z,None,DES supernova hex SN-E2 tiling 22,False,0.0,1.783,0.4,assess_RUN_v25475,2014/8/29 14:37:34
352936,2014/8/29 05:43:08,2:17:54.21,-4:55:46.2,175.0,g,None,DES supernova hex SN-X1 tiling 20,False,0.0,1.987,0.708,assess_RUN_v25475,2014/8/29 16:34:11
352937,2014/8/29 05:46:31,2:17:54.22,-4:55:46.2,150.0,r,None,DES supernova hex SN-X1 tiling 20,False,0.0,1.58,0.603,assess_RUN_v25475,2014/8/29 16:27:28
352938,2014/8/29 05:49:28,2:17:54.20,-4:55:46.2,200.0,i,None,DES supernova hex SN-X1 tiling 20,False,0.001,1.767,0.397,assess_RUN_v25475,2014/8/29 16:34:08
352939,2014/8/29 05:53:16,2:17:54.24,-4:55:46.3,200.0,z,None,DES supernova hex SN-X1 tiling 21,False,0.005,1.446,0.09,assess_RUN_v25475,2014/8/29 14:33:23
352940,2014/8/29 05:57:09,2:17:54.13,-4:55:50.7,200.0,z,None,DES supernova hex SN-X1 tiling 22,False,0.006,1.555,0.108,assess_RUN_v25475,2014/8/29 14:44:04
352942,2014/8/29 06:02:52,2:25:48.06,-4:36:00.0,200.0,g,None,DES supernova hex SN-X3 tiling 23,False,0.004,1.953,0.698,assess_RUN_v25475,2014/8/29 16:40:06
352943,2014/8/29 06:06:40,2:25:47.97,-4:36:04.6,200.0,g,None,DES supernova hex SN-X3 tiling 24,False,0.008,1.658,0.641,assess_RUN_v25475,2014/8/29 16:31:14
