expnum,date,ra,dec,exptime,band,tag,object
145357,2012/11/2 01:41:10,0:31:30.78,-43:00:31.9,200.0,z,SVA1_FINALCUT,
145358,2012/11/2 01:44:59,0:31:30.69,-43:00:25.3,200.0,z,SVA1_FINALCUT,
145376,2012/11/2 02:45:13,0:31:29.26,-43:00:30.6,200.0,z,SVA1_FINALCUT,
145388,2012/11/2 03:35:42,2:21:44.46,-6:13:16.5,200.0,z,SVA1_FINALCUT,
145580,2012/11/2 08:13:32,7:23:34.37,-70:09:18.1,120.0,z,SVA1_FINALCUT,field D
145597,2012/11/2 08:31:30,5:12:14.64,-66:47:25.1,120.0,z,SVA1_FINALCUT,Field A
145598,2012/11/2 08:34:00,5:12:14.65,-66:47:25.4,120.0,z,SVA1_FINALCUT,Field A
145873,2012/11/3 00:53:56,0:31:52.85,-43:01:04.2,150.0,g,SVA1_FINALCUT,E1
145875,2012/11/3 00:59:55,0:31:52.87,-43:01:03.3,150.0,r,SVA1_FINALCUT,E1
145876,2012/11/3 01:03:30,0:31:52.86,-43:01:02.8,150.0,r,SVA1_FINALCUT,E1
145877,2012/11/3 01:08:52,0:31:52.83,-43:01:02.1,150.0,i,SVA1_FINALCUT,E1
145878,2012/11/3 01:12:55,0:31:52.88,-43:01:01.1,150.0,i,SVA1_FINALCUT,E1
145879,2012/11/3 01:16:48,0:31:52.86,-43:01:00.2,150.0,i,SVA1_FINALCUT,E1
145880,2012/11/3 01:20:46,0:31:52.88,-43:00:59.5,150.0,z,SVA1_FINALCUT,E1
145888,2012/11/3 01:47:53,0:31:52.89,-43:00:57.8,150.0,i,SVA1_FINALCUT,
146658,2012/11/4 08:33:47,7:23:27.93,-70:09:58.1,120.0,z,SVA1_FINALCUT,Field D
146659,2012/11/4 08:36:16,7:23:28.07,-70:09:55.3,120.0,z,SVA1_FINALCUT,Field D
146660,2012/11/4 08:38:45,7:23:28.21,-70:09:53.9,120.0,z,SVA1_FINALCUT,Field D
148105,2012/11/7 00:52:55,23:15:09.07,20:00:00.7,120.0,r,SVA1_FINALCUT,
148106,2012/11/7 00:55:26,23:15:09.06,20:00:00.7,120.0,r,SVA1_FINALCUT,
148108,2012/11/7 01:00:29,23:15:09.08,20:00:00.5,120.0,r,SVA1_FINALCUT,
148178,2012/11/7 04:30:13,2:25:26.50,-4:41:29.8,200.0,g,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 23
148179,2012/11/7 04:34:03,2:25:26.52,-4:41:24.4,200.0,g,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 24
148180,2012/11/7 04:37:54,2:25:26.38,-4:41:28.3,200.0,g,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 25
148183,2012/11/7 04:44:53,2:25:26.73,-4:41:29.4,400.0,r,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 23
148184,2012/11/7 04:52:03,2:25:26.71,-4:41:24.2,400.0,r,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 24
148185,2012/11/7 04:59:13,2:25:26.59,-4:41:27.9,400.0,r,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 25
148334,2012/11/7 08:17:36,7:23:39.27,-70:09:57.1,200.0,g,SVA1_FINALCUT,Field D
148335,2012/11/7 08:21:26,7:23:39.29,-70:09:58.6,200.0,g,SVA1_FINALCUT,Field D
148336,2012/11/7 08:21:53,7:23:40.41,-70:09:58.5,200.0,g,SVA1_FINALCUT,Field D
148337,2012/11/7 08:25:14,7:23:40.46,-70:09:57.6,200.0,r,SVA1_FINALCUT,Field D
148338,2012/11/7 08:28:34,7:23:40.44,-70:09:59.6,300.0,r,SVA1_FINALCUT,Field D
148339,2012/11/7 08:33:35,7:23:40.61,-70:09:59.5,300.0,r,SVA1_FINALCUT,Field D
148340,2012/11/7 08:38:38,7:23:40.59,-70:09:57.9,300.0,i,SVA1_FINALCUT,Field D
148342,2012/11/7 08:49:47,7:23:40.59,-70:09:57.1,120.0,z,SVA1_FINALCUT,Field D
148563,2012/11/8 01:42:16,2:51:22.26,0:01:45.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 20
148564,2012/11/8 01:45:41,2:51:22.29,0:01:45.3,150.0,r,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 20
148565,2012/11/8 01:48:41,2:51:22.28,0:01:44.7,200.0,i,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 20
148567,2012/11/8 01:56:55,2:51:22.22,0:01:49.9,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 22
148571,2012/11/8 02:11:03,2:44:51.38,-0:57:09.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
148572,2012/11/8 02:14:28,2:44:51.39,-0:57:11.4,150.0,r,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
148573,2012/11/8 02:17:26,2:44:51.36,-0:57:11.5,200.0,i,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
148574,2012/11/8 02:21:15,2:44:51.36,-0:57:12.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 21
148575,2012/11/8 02:25:05,2:44:51.32,-0:57:07.6,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 22
148597,2012/11/8 03:00:28,0:31:31.46,-42:58:45.7,175.0,g,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 20
148598,2012/11/8 03:03:53,0:31:31.48,-42:58:45.4,150.0,r,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 20
148599,2012/11/8 03:06:53,0:31:31.48,-42:58:45.9,200.0,i,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 20
148600,2012/11/8 03:10:42,0:31:31.49,-42:58:45.4,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 21
148601,2012/11/8 03:14:33,0:31:31.30,-42:58:40.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 22
148604,2012/11/8 03:25:57,2:25:49.54,-4:33:27.9,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 75
148605,2012/11/8 03:31:57,2:25:49.53,-4:33:23.2,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 76
148606,2012/11/8 03:37:57,2:25:49.37,-4:33:27.7,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 77
148607,2012/11/8 03:43:57,2:25:49.81,-4:33:28.8,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 78
148608,2012/11/8 03:49:56,2:25:49.77,-4:33:24.2,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 79
148609,2012/11/8 03:55:57,2:25:49.61,-4:33:30.3,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 80
148612,2012/11/8 04:09:50,3:37:07.01,-27:04:41.2,175.0,g,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 20
148613,2012/11/8 04:13:15,3:37:07.00,-27:04:41.9,150.0,r,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 20
148614,2012/11/8 04:16:15,3:37:07.00,-27:04:41.8,200.0,i,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 20
148615,2012/11/8 04:20:06,3:37:06.98,-27:04:41.9,200.0,z,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 21
148616,2012/11/8 04:23:57,3:37:06.90,-27:04:36.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 22
